MBC [IDX];Last Successful Poll;IP;Registration Status Group;CM Score;CM DS Avg Pwr;CM US Avg Pwr;CM DS Avg MER;CM US Avg MER;CM Uncorr Codewords;CM Corr Codewords;Flap Ins;Flap Power Adjustment;Flap Total Num;Flap Miss/Hit Ratio;CM Jitter;CM Latency;Packet Loss Rate;CM UpTime;Status Resets;CM DS Ch Set;CM US Ch Set;Memory Utilization;Processor Utilization;Device Name
28:9E:FC:09:C4:2E;08-04-2020 08:41;11.130.1.131;W-Online;100;7.18;42.5;47.65;45.1;0;0;1;2;0;0;1;6;0;10863807;5;24 bonding;OFDM;36;4;CM1
28:9E:FC:09:E4:BF;08-04-2020 08:41;11.130.1.72;W-Online;100;-1.54;40.5;43.69;40.3;0;0;2;6;36;0;0;6;0;11452704;0;24 bonding;OFDM;34;5;CM1
28:9E:FC:09:BE:BD;08-04-2020 08:41;11.130.0.51;P-Online;100;3.94;48.3;43.47;40;0;0;5;71;555;0;1;7;0;44275;0;24 bonding;OFDM;32;14;CM1
28:9E:FC:0B:0E:FE;08-04-2020 08:41;11.130.6.195;W-Online;100;-2.39;47.5;45.05;45.1;0;0;1;9;4;0;0;6;0;18767315;2;24 bonding;OFDM;35;3;CM1
B8:66:85:EB:4E:68;08-04-2020 08:41;11.130.8.118;W-Online;100;6.47;39;45.41;45.1;0;0;0;7;8;0;10;7;0;2390087;0;32 bonding;OFDM;36;8;CM1
28:9E:FC:0B:11:89;08-04-2020 08:41;11.130.3.40;W-Online;100;-0.13;41.3;45.38;38.3;0;0.01;1;7;4;0;1;7;0;5862791;0;24 bonding;OFDM;33;7;CM1
28:9E:FC:0B:18:90;08-04-2020 08:41;11.130.8.8;W-Online;100;4.46;48;46.92;44.1;0;0;1;0;3;0;0;6;0;2854110;0;24 bonding;OFDM;33;1;CM1
B8:66:85:FF:48:F6;08-04-2020 08:41;11.130.1.166;W-Online;100;9.28;39.5;46.8;42.1;0;0;1;0;94;0;1;6;0;3429058;0;24 bonding;OFDM;33;11;CM1
B8:66:85:EB:63:12;08-04-2020 08:41;11.130.2.132;W-Online;100;10.47;39;46.47;40.7;0;0;0;0;55;0;1;6;0;1720262;0;24 bonding;OFDM;33;6;CM1
B8:66:85:EB:FE:56;08-04-2020 08:41;11.130.2.47;W-Online;100;-5.96;47.8;43.15;36.1;0;0;0;19;37;0;0;7;0;2734233;0;32 bonding;OFDM;36;8;CM1
B8:66:85:EB:70:DC;08-04-2020 08:41;11.130.1.28;W-Online;100;6.87;43.3;45.63;45.1;0;0;1;4;0;0;0;6;0;631584;0;32 bonding;OFDM;35;12;CM1
28:9E:FC:09:C8:8E;08-04-2020 08:41;11.130.2.19;W-Online;100;2.6;42;44.62;39.7;0;0.05;0;2;5772;0;0;6;0;879879;0;32 bonding;OFDM;35;17;CM1
28:9E:FC:0B:1B:7D;08-04-2020 08:41;11.130.1.254;W-Online;100;0.57;44;43.93;40.7;0;0;5;52;327;0;5;8;0;11447689;13;24 bonding;OFDM;36;4;CM1
B8:66:85:EB:32:5F;08-04-2020 08:41;11.130.0.165;P-Online;100;5.44;41.3;46.37;42.1;0.01;0.01;1;13;1;0;2;6;0;383823;0;32 bonding;OFDM;35;5;CM1
28:9E:FC:0D:46:82;08-04-2020 08:41;11.116.115.149;W-Online;100;6.57;42;46.92;40.3;0;0;1;43;187;0;1;6;0;1991479;0;24 bonding;OFDM;33;18;CM1
28:9E:FC:0B:36:D5;08-04-2020 08:41;11.130.2.209;W-Online;100;-4.77;48.8;43.47;38.3;0;0;5;36;34;0;0;7;0;1515728;0;24 bonding;OFDM;32;4;CM1
28:9E:FC:0B:13:5E;08-04-2020 08:41;11.130.8.119;W-Online;100;6.21;39.5;44.83;41.6;0;0;0;0;41;0;4;6;0;695556;0;32 bonding;OFDM;35;2;CM1
28:9E:FC:0D:4D:BB;08-04-2020 08:41;11.130.2.14;W-Online;100;-0.43;45.3;44.63;45.1;0;0;1;1;225;0;3;8;0;3415957;0;24 bonding;OFDM;33;6;CM1
